id,noc
139,RWA
107,BAN
135,AHO
23,CMR
179,LAO
209,GAM
67,KGZ
105,VEN
13,BUL
148,THA
145,BIZ
169,BIH
173,BAR
183,PRK
37,LIB
6,ROU
205,BOH
26,MEX
66,UZB
215,NBO
99,CRO
61,UAE
164,IVB
92,MLI
82,ARM
44,RSA
93,AFG
142,MLT
3,USA
83,CIV
193,ZIM
22,GRE
79,SWE
207,LIE
39,MAS
153,PNG
28,NCA
73,BRA
137,ASA
50,BEL
200,ZAM
122,TTO
177,GAB
123,DOM
11,EGY
204,MKD
151,SCG
143,CYP
85,BEN
166,CAF
182,CAM
211,ALB
0,CHN
108,PER
38,QAT
8,FRA
19,ARG
46,TAN
51,DJI
2,NED
29,HUN
18,RUS
54,KAZ
91,NIG
12,IRI
210,COK
117,TCH
172,SVK
7,EST
72,SUI
63,INA
170,GUM
138,SAM
190,SAA
218,NRU
133,TOG
163,SRB
216,BDI
47,JOR
69,EUN
112,HON
15,CHA
1,DEN
76,MON
36,UAR
96,PAN
124,VIN
187,CRT
118,LUX
185,SEN
14,ITA
21,BLR
53,COM
154,YEM
186,CPV
217,ARU
52,PLE
165,MOZ
98,SLO
95,CRC
126,LBR
141,HAI
80,ISV
78,URU
116,SEY
103,PAR
109,ESA
160,YUG
222,MHL
178,SMR
189,BOL
60,ETH
90,LAT
55,BRU
87,GBR
161,BAH
121,SKN
191,AND
31,ALG
30,NGR
228,SSD
136,ISL
5,NOR
110,PUR
147,KOR
48,TUN
157,FIJ
188,GEQ
114,TKM
184,SOL
10,ESP
64,PHI
125,JAM
149,BER
195,HKG
84,KEN
45,ERI
88,GHA
33,BRN
156,OMA
194,GRN
111,UGA
220,VIE
131,PLW
49,LBA
32,KUW
206,TGA
101,NZL
16,AZE
168,MAL
77,ISR
4,FIN
224,UNK
120,CZE
106,COL
27,URS
144,GUI
162,GUA
104,ANG
155,IOA
146,YMD
227,KOS
226,NFL
174,GBS
71,CGO
94,POL
113,ECU
150,ANZ
214,BUR
225,TUV
213,SWZ
176,COD
219,VNM
175,TLS
132,LTU
198,MYA
158,VAN
56,IND
171,CAY
140,DMA
59,MDV
159,MDA
43,AUS
65,SGP
221,BHU
25,CHI
167,MAD
152,SLE
68,TJK
57,KSA
180,BOT
201,RHO
203,STP
119,MTN
58,SYR
127,SUR
212,WIF
75,GDR
223,KIR
34,PAK
97,GEO
70,JPN
115,MRI
20,CUB
35,IRQ
86,UKR
24,TUR
41,CAN
89,SOM
208,MNE
202,TPE
100,GUY
130,AUT
192,ANT
196,LCA
42,IRL
199,MAW
62,YAR
17,SUD
9,MAR
81,SRI
74,FRG
102,POR
197,FSM
134,NAM
181,ROT
128,NEP
229,LES
129,MGL
40,GER
