id,person,noc,game
19365,14180,31,12
109361,78945,74,35
67269,48732,79,40
165546,119165,87,33
107865,77886,72,0
138627,99927,101,32
23910,17411,102,37
40808,29635,8,11
156377,112701,4,27
187181,134683,72,31
3623,2719,41,12
28016,20430,54,11
59406,43004,2,38
49651,35984,43,11
103470,74695,13,21
139421,100497,78,20
64471,46709,43,11
68137,49346,43,25
56115,40597,72,29
186790,134417,13,15
117867,85095,14,11
80502,58341,73,21
128291,92577,13,27
180779,130123,87,9
170,120,34,38
88756,64141,94,45
138503,99841,102,28
57104,41334,3,25
182244,131201,78,21
157547,113563,40,6
143101,103122,87,20
107572,77672,109,19
89416,64600,79,2
146950,105882,14,9
181964,131004,94,11
81119,58769,37,39
169154,121707,70,12
176077,126732,130,14
44926,32652,188,25
179261,129026,74,35
164923,118730,30,28
50958,36892,3,26
182889,131667,198,20
53149,38461,106,25
11561,8534,151,11
104506,75440,41,24
5115,3814,41,25
50169,36351,125,1
37235,27124,8,40
608,450,87,29
54807,39649,27,28
18672,13680,2,11
42088,30572,3,41
154811,111532,27,41
5850,4360,88,19
104483,75425,20,0
59201,42859,3,20
86653,62677,27,27
112560,81268,153,19
95089,68729,75,26
135643,97784,3,29
162251,116823,29,16
21796,15891,117,29
141891,102268,6,37
2900,2192,32,19
182289,131234,22,27
37241,27128,50,14
86873,62827,14,41
170658,122784,10,12
82651,59861,183,23
165456,119098,2,8
134446,96925,10,28
134028,96629,16,1
91629,66199,22,29
121133,87410,20,36
83392,60380,13,36
57642,41730,29,37
68924,49925,79,36
181472,130640,94,28
19855,14519,14,0
34507,25165,79,36
118290,85411,41,21
154787,111514,42,12
179747,129379,125,19
43581,31668,3,16
64660,46851,3,19
121576,87744,147,21
48824,35398,40,12
186271,134061,0,0
40342,29323,3,35
93666,67683,147,20
176218,126835,44,0
180895,130212,8,26
82311,59621,147,19
94882,68573,8,11
181243,130476,3,44
2070,1539,22,11
164364,118337,6,20
50840,36818,1,35
109528,79066,5,34
128285,92571,22,50
147513,106286,14,0
57590,41690,41,25
182688,131513,70,12
82915,60050,147,37
3252,2450,10,25
81233,58850,17,25
168373,121144,14,43
10545,7798,29,35
123910,89453,20,16
157923,113825,117,22
7033,5210,72,25
23492,17111,2,9
181301,130519,94,23
162815,117220,160,37
142979,103040,150,46
86971,62894,88,28
16133,11833,15,12
150247,108261,109,11
11364,8391,40,19
6055,4498,3,11
182839,131629,70,19
147712,106442,8,7
163101,117419,6,0
37927,27612,117,0
161251,116145,148,0
177799,127983,41,28
36271,26420,50,37
47181,34265,14,28
64829,46974,72,8
102444,73979,56,25
166400,119764,87,1
59130,42812,102,27
96778,69917,148,11
48289,35016,87,27
127855,92276,4,34
12354,9091,8,18
145476,104824,161,35
134293,96818,117,24
97973,70750,19,12
2902,2193,32,35
14166,10394,8,28
130196,93922,194,19
177574,127828,0,19
4845,3612,41,23
108062,78027,24,1
151365,109089,18,15
4991,3721,1,13
75714,54802,147,21
129117,93177,18,1
48634,35258,79,27
51197,37074,118,9
59931,43387,132,21
97960,70741,14,26
6423,4767,70,35
140394,101182,14,7
179588,129262,3,26
187004,134559,18,18
78685,57039,2,1
150988,108812,18,20
61815,44764,4,11
65915,47747,40,19
165767,119322,1,9
57993,41982,50,33
22017,16038,43,37
148822,107236,72,17
95164,68786,66,12
116338,84024,27,41
110464,79722,13,0
78003,56531,79,0
113728,82126,71,19
38246,27854,3,14
155087,111731,41,0
36273,26421,14,23
171845,123646,2,25
183514,132130,24,21
124101,89580,41,15
88220,63747,56,20
10578,7823,5,9
183016,131766,0,21
1803,1348,79,19
97398,70356,10,14
172507,124153,50,21
121952,88014,4,39
142509,102699,6,34
124465,89841,90,34
179073,128890,0,19
92578,66906,43,33
17842,13087,41,12
73645,53306,3,19
80062,58025,84,20
170365,122582,101,11
157389,113459,41,26
165671,119258,41,34
141218,101772,123,0
121884,87962,70,19
92568,66899,8,20
43177,31369,79,8
17454,12804,86,21
112505,81223,3,26
103371,74633,6,36
159291,114773,5,12
40873,29681,98,17
32971,24005,29,27
151837,109449,21,11
58173,42104,130,20
11330,8369,12,27
10208,7558,2,14
